bhk_type,carpet_area_sqft,super_built_up_area_sqft,floor_number,total_floors,building_age_years,lift_available,furnishing_status,modular_kitchen,bathrooms,balconies,ac_units,wardrobes,flooring_type,gated_community,security,clubhouse,gym,swimming_pool,parking_type,power_backup,water_supply,maintenance_charges,locality,pin_code,society_type,distance_to_metro_km,distance_to_it_park_km,distance_to_school_km,distance_to_hospital_km,rental_price,purchase_price,price_per_sqft,brokerage_type,days_since_listed,locality_tier,furnishing_status_encoded,bhk_number,bhk_type_encoded,locality_Aundh,locality_Baner,locality_Hadapsar,locality_Hinjewadi,locality_Kalyani Nagar,locality_Kharadi,locality_Koregaon Park,locality_Kothrud,locality_Magarpatta,locality_Nigdi,locality_Pimple Saudagar,locality_Pune Camp,locality_Shivajinagar,locality_Viman Nagar,locality_Wakad,norm_carpet_area_sqft,norm_super_built_up_area_sqft,norm_floor_number,norm_total_floors,norm_building_age_years,norm_lift_available,norm_modular_kitchen,norm_bathrooms,norm_balconies,norm_ac_units,norm_wardrobes,norm_gated_community,norm_security,norm_clubhouse,norm_gym,norm_swimming_pool,norm_power_backup,norm_maintenance_charges,norm_pin_code,norm_distance_to_metro_km,norm_distance_to_it_park_km,norm_distance_to_school_km,norm_distance_to_hospital_km,norm_price_per_sqft,norm_days_since_listed,norm_locality_tier,norm_locality_Aundh,norm_locality_Baner,norm_locality_Hadapsar,norm_locality_Hinjewadi,norm_locality_Kalyani Nagar,norm_locality_Kharadi,norm_locality_Koregaon Park,norm_locality_Kothrud,norm_locality_Magarpatta,norm_locality_Nigdi,norm_locality_Pimple Saudagar,norm_locality_Pune Camp,norm_locality_Shivajinagar,norm_locality_Viman Nagar,norm_locality_Wakad,floor_ratio,connectivity_score,area_per_bhk
2 BHK,710.05,865.89,5,9,10,1,Semi-Furnished,1,3,2,1,3,Marble,1,1,0,0,0,Covered,0,Tanker,1638.73,Wakad,411057,Society,4.62,3.17,2.11,2.3,18675.03,4857195.42,6840.638574748257,Broker,31,3,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.2153843945020865,0.2209096553865259,0.238095238095238,0.2631578947368421,0.5,1.0,1.0,0.4000000000000001,0.4,0.2,0.2222222222222222,1.0,1.0,0.0,0.0,0.0,0.0,0.096232749402224,1.0,0.6138888888888889,0.2468827930174563,0.6895306859205776,0.6719999999999999,0.0639713158652248,0.2727272727272727,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5555555555555556,0.45976583225152323,355.025
2 BHK,521.06,632.55,13,13,10,1,Fully Furnished,1,3,2,2,3,Marble,0,0,1,1,1,Covered,1,Corporation + Borewell,3130.48,Kalyani Nagar,411006,Standalone,1.16,4.57,1.35,1.55,26336.94,14679626.57,28172.62228917975,Owner,37,1,2,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.1249377847543933,0.1303554796647004,0.6190476190476191,0.4736842105263157,0.5,1.0,1.0,0.4000000000000001,0.4,0.4,0.2222222222222222,0.0,0.0,1.0,1.0,1.0,1.0,0.2673905760219559,0.089285714286234,0.1333333333333333,0.3632585203657522,0.4151624548736462,0.3720000000000001,0.7228212325357007,0.3272727272727272,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6575923571222018,260.53
1 BHK,449.83,512.23,2,15,9,1,Semi-Furnished,1,1,1,0,2,Granite,1,1,1,1,0,Covered,1,Municipal,800.0,Kothrud,411038,Society,1.14,6.8,1.32,1.27,14373.3,4462131.72,9919.595669475135,Owner,17,2,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0908486159500746,0.083661906240298,0.0952380952380952,0.5789473684210527,0.45,1.0,1.0,0.0,0.2,0.0,0.1111111111111111,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.6607142857146755,0.1305555555555555,0.5486284289276807,0.4043321299638989,0.26,0.1590682783218459,0.1454545454545454,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13333333333333333,0.627628283985602,449.83
2 BHK,412.72,470.99,8,15,7,1,Semi-Furnished,1,2,1,1,2,Granite,0,1,1,0,0,Covered,0,Corporation + Borewell,860.97,Hinjewadi,411057,Standalone,5.41,1.44,2.33,2.23,8032.0,4791774.16,11610.230083349486,Broker,10,3,1,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0730885562234388,0.0676575597640484,0.3809523809523809,0.5789473684210527,0.35,1.0,1.0,0.2,0.2,0.2,0.1111111111111111,0.0,1.0,1.0,0.0,0.0,0.0,0.0069954702121703,1.0,0.7236111111111112,0.1030756442227763,0.7689530685920578,0.644,0.2112832746711603,0.0818181818181818,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5333333333333333,0.4788106916275354,206.36
1 BHK,371.22,439.58,3,11,13,1,Fully Furnished,1,1,2,0,1,Wooden,1,1,0,1,0,Bike,0,Corporation + Borewell,800.0,Kharadi,411014,Society,4.67,1.77,2.05,1.99,23880.3,6013410.56,16199.047896126283,Owner,14,2,2,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0532275355105478,0.0554680223533064,0.1428571428571428,0.368421052631579,0.65,1.0,1.0,0.0,0.4,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.232142857143117,0.6208333333333333,0.1305070656691604,0.667870036101083,0.548,0.3530083255398505,0.1181818181818181,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2727272727272727,0.5287907742323115,371.22
4 BHK,1482.88,1695.21,0,15,8,1,Unfurnished,0,5,5,2,5,Granite,0,1,0,0,0,Covered,0,Tanker,3897.54,Hinjewadi,411057,Society,6.27,1.99,2.43,2.76,27826.72,9355337.01,6308.89688309236,Owner,3,3,0,4,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.585244458057353,0.5427506985408259,0.0,0.5789473684210527,0.4,1.0,0.0,0.8,1.0,0.4,0.4444444444444445,0.0,1.0,0.0,0.0,0.0,0.0,0.3554001771527966,1.0,0.8430555555555556,0.1487946799667497,0.8050541516245489,0.8559999999999999,0.04754909894161,0.0181818181818181,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36845756064889346,370.72
1 BHK,390.95,873.45,9,18,15,1,Unfurnished,0,1,1,0,2,Vitrified,0,0,0,1,1,Covered,0,Corporation + Borewell,800.0,Pimple Saudagar,411027,Standalone,3.03,5.09,1.18,1.77,7500.0,2800000.0,7162.041181736795,Owner,11,3,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0626698954783873,0.223843526855014,0.4285714285714285,0.7368421052631579,0.75,1.0,0.0,0.0,0.2,0.0,0.1111111111111111,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.464285714286234,0.3930555555555555,0.4064837905236907,0.3537906137184115,0.4600000000000001,0.0738992040146422,0.0909090909090909,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5,0.5356810502558662,390.95
1 BHK,349.71,419.26,11,16,16,1,Unfurnished,1,1,1,0,1,Ceramic,1,1,0,0,0,Covered,0,Municipal,2164.755,Wakad,411057,Society,4.96,2.73,2.63,2.59,7500.0,2800000.0,8006.634068227961,Owner,30,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0429333052567096,0.0475822725861533,0.5238095238095237,0.631578947368421,0.8,1.0,1.0,0.0,0.2,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.1565868943646135,1.0,0.6611111111111111,0.2103075644222776,0.8772563176895307,0.788,0.0999880163619899,0.2636363636363636,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6875,0.4254599794460793,349.71
1 BHK,475.65,599.57,3,11,11,1,Semi-Furnished,1,1,1,0,1,Vitrified,0,0,0,0,0,Covered,1,Borewell,1244.38,Hinjewadi,411057,Standalone,5.57,0.77,2.79,2.75,12057.33,3883842.74,8165.337411962579,Not Specified,66,3,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.1032055208851793,0.1175566594225396,0.1428571428571428,0.368421052631579,0.55,1.0,1.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0509865024255247,1.0,0.7458333333333333,0.0473815461346633,0.9350180505415164,0.8520000000000001,0.1048886448235007,0.5909090909090909,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2727272727272727,0.43430903543332,475.65
2 BHK,738.75,827.76,14,17,9,1,Semi-Furnished,1,2,1,1,4,Granite,0,1,0,1,0,Bike,1,Tanker,2745.58,Hadapsar,411028,Society,5.8,0.6,2.39,2.12,17739.85,5711568.22,7731.395221658206,Owner,31,3,1,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.2291196064167847,0.2061122322260168,0.6666666666666666,0.6842105263157894,0.45,1.0,1.0,0.2,0.2,0.2,0.3333333333333333,0.0,1.0,0.0,1.0,0.0,1.0,0.2232285867704494,0.482142857143117,0.7777777777777778,0.0332502078137988,0.7906137184115524,0.6000000000000001,0.0914839573678989,0.2727272727272727,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8235294117647058,0.49588978248013404,369.375
