listing_id,source,listing_url,bhk_type,carpet_area_sqft,super_built_up_area_sqft,floor_number,total_floors,building_age_years,lift_available,furnishing_status,modular_kitchen,bathrooms,balconies,ac_units,wardrobes,flooring_type,gated_community,security,clubhouse,gym,swimming_pool,parking_type,power_backup,water_supply,maintenance_charges,locality,pin_code,society_type,distance_to_metro_km,distance_to_it_park_km,distance_to_school_km,distance_to_hospital_km,rental_price,purchase_price,price_per_sqft,brokerage_type,days_since_listed
SYN-00001,synthetic,https://example.com/pune-listing/1,2 BHK,710.05,865.89,5,9,10,1,Semi-Furnished,1,3,2,1,3,Marble,1,1,0,0,0,Covered,0,Tanker,1638.73,Wakad,411057,Society,4.62,3.17,2.11,2.3,18675.03,4857195.42,6840.6,Broker,31
SYN-00002,synthetic,https://example.com/pune-listing/2,2 BHK,521.06,632.55,13,13,10,1,Fully Furnished,1,3,2,2,3,Marble,0,0,1,1,1,Covered,1,Corporation + Borewell,3130.48,Kalyani Nagar,411006,Standalone,1.16,4.57,1.35,1.55,26336.94,14679626.57,28172.5,Owner,37
SYN-00003,synthetic,https://example.com/pune-listing/3,1 BHK,449.83,512.23,2,15,9,1,Semi-Furnished,1,1,1,0,2,Granite,1,1,1,1,0,Covered,1,Municipal,800.0,Kothrud,411038,Society,1.14,6.8,1.32,1.27,14373.3,4462131.72,9919.6,Owner,17
SYN-00004,synthetic,https://example.com/pune-listing/4,2 BHK,412.72,470.99,8,15,7,1,Semi-Furnished,1,2,1,1,2,Granite,0,1,1,0,0,Covered,0,Corporation + Borewell,860.97,Hinjewadi,411057,Standalone,5.41,1.44,2.33,2.23,8032.0,4791774.16,11610.19,Broker,10
SYN-00005,synthetic,https://example.com/pune-listing/5,1 BHK,371.22,439.58,3,11,13,1,Fully Furnished,1,1,2,0,1,Wooden,1,1,0,1,0,Bike,0,Corporation + Borewell,800.0,Kharadi,411014,Society,4.67,1.77,2.05,1.99,23880.3,6013410.56,16198.89,Owner,14
SYN-00006,synthetic,https://example.com/pune-listing/6,4 BHK,1482.88,1695.21,0,15,8,1,Unfurnished,0,5,5,2,5,Granite,0,1,0,0,0,Covered,0,Tanker,3897.54,Hinjewadi,411057,Society,6.27,1.99,2.43,2.76,27826.72,9355337.01,6308.89,Owner,3
SYN-00007,synthetic,https://example.com/pune-listing/7,1 BHK,390.95,,9,18,15,1,Unfurnished,0,1,1,0,2,Vitrified,0,0,0,1,1,Covered,0,Corporation + Borewell,800.0,Pimple Saudagar,411027,Standalone,3.03,5.09,1.18,1.77,7500.0,2800000.0,7162.04,Owner,11
SYN-00008,synthetic,https://example.com/pune-listing/8,1 BHK,349.71,419.26,11,16,16,1,Unfurnished,1,1,1,0,1,Ceramic,1,1,0,0,0,Covered,0,Municipal,,Wakad,411057,Society,4.96,2.73,2.63,2.59,7500.0,2800000.0,8006.73,Owner,30
SYN-00009,synthetic,https://example.com/pune-listing/9,1 BHK,475.65,599.57,3,11,11,1,Semi-Furnished,1,1,1,0,1,Vitrified,0,0,0,0,0,Covered,1,Borewell,1244.38,Hinjewadi,411057,Standalone,5.57,0.77,2.79,2.75,12057.33,3883842.74,8165.4,,66
SYN-00010,synthetic,https://example.com/pune-listing/10,2 BHK,738.75,827.76,14,17,9,1,Semi-Furnished,1,2,1,1,4,Granite,0,1,0,1,0,Bike,1,Tanker,2745.58,Hadapsar,411028,Society,5.8,0.6,2.39,2.12,17739.85,5711568.22,7731.39,Owner,31
